id,creation_time,formatted_creation_time,airline_code,flight_number,flight_date,departure_airport,departure_city,departure_country,departure_lat,departure_lon,user_name,action_name,stepID,action_mode,log_level,entry_details,arrival_airport
137524484,2024-04-30 04:01:47,30-04-2024 04:01:47,MN,1262,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,a277234c22fa2e5d,Received,INFO,"com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         11        false     NULL 
From positions : 11 
To positions   : 42",BHX
137524940,2024-04-30 04:01:50,30-04-2024 04:01:50,MN,1262,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,3b152cbdf5b057ed,Received,INFO,"com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         NULL      false     NULL 
To positions   : 11",BHX
137524943,2024-04-30 04:01:50,30-04-2024 04:01:50,MN,1262,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,3b152cbdf5b057ed,Saved,INFO,"com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978056  flightId = 667642 legId = 687453  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125359  NULL         ESTIMATE  0.00      KG   0         0.00      DUB       DUB       BHX       BT        NULL      false     NULL 
 37125360  NULL         ESTIMATE  39.00     KG   3         0.00      DUB       DUB       BHX       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125358  AKH       NULL      MN                  ESTIMATE  234.00    KG   18        0.00      DUB       DUB       BHX       B         41        false     NULL 
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         42        false     NULL 
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         11        false     NULL 

STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 5 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2",BHX
137524964,2024-04-30 04:05:32,30-04-2024 04:05:32,MN,1630,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,52735a0dd84d57d0,Received,INFO,"com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37124716  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BRU       B         11        false     NULL 
From positions : 11 
To positions   : 32",BRU
137525021,2024-04-30 04:02:12,30-04-2024 04:02:12,MN,1202,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,8d65801e1dbb10e7,Received,INFO,"com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         11        false     NULL 
From positions : 11 
To positions   : 42",MAN
137525024,2024-04-30 04:02:12,30-04-2024 04:02:12,MN,1202,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,8d65801e1dbb10e7,Saved,INFO,"com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2",MAN
137525029,2024-04-30 04:02:21,30-04-2024 04:02:21,MN,1202,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,89e70cd2d6c4eccb,Received,INFO,"com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
To positions   : 32",MAN
137525032,2024-04-30 04:02:21,30-04-2024 04:02:21,MN,1202,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,89e70cd2d6c4eccb,Saved,INFO,"com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         32        false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2",MAN
137525033,2024-04-30 04:02:24,30-04-2024 04:02:24,MN,1202,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,f292f9ae94fcc55e,Received,INFO,"com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
To positions   : 11",MAN
137525036,2024-04-30 04:02:24,30-04-2024 04:02:24,MN,1202,30,DUB,Dublin,IE,53.4213,-6.27007,human,AssignLoadplanAction,f292f9ae94fcc55e,Saved,INFO,"com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         32        false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         11        false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2",MAN
